"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Asian","Multiracial","Undesignated","Other","Hispanic","Male","Female","UnDisclosedGender","Total","AppVersion"
"ALAMANCE","38231","30799","308","0","0","0","23345","67481","18860","227","0","0","0","0","6115","1805","40430","50085","2168","92683","0"
"ALEXANDER","6923","10373","50","0","0","0","6241","22044","999","28","0","0","0","0","516","189","11259","12177","151","23587","0"
"ALLEGHANY","2918","2322","26","0","0","0","1809","6794","80","11","0","0","0","0","190","129","3319","3707","49","7075","0"
"ANSON","12198","2284","12","0","0","0","2457","7492","7530","37","0","0","0","0","1892","51","6872","8186","1893","16951","0"
"ASHE","5793","7634","43","0","0","0","4519","17609","91","18","0","0","0","0","271","124","8500","9433","56","17989","0"
"AVERY","1395","6779","35","0","0","0","2945","10807","86","26","0","0","0","0","235","56","5187","5883","84","11154","0"
"BEAUFORT","14385","10045","86","0","0","0","7336","22707","8241","34","0","0","0","0","870","237","14312","17086","454","31852","0"
"BERTIE","10626","1395","12","0","0","0","2060","4993","8510","18","0","0","0","0","572","24","6088","7610","395","14093","0"
"BLADEN","14324","2920","28","0","0","0","4961","12973","8316","290","0","0","0","0","654","252","10182","11929","122","22233","0"
"BRUNSWICK","25981","30530","277","0","0","0","26637","72125","8548","239","0","0","0","0","2513","702","38404","43969","1052","83425","0"
"BUNCOMBE","72449","45144","1006","0","0","0","59865","157982","10613","363","0","0","0","0","9506","2058","80504","95064","2896","178464","0"
"BURKE","19670","19592","218","0","0","0","16276","50292","3340","71","0","0","0","0","2053","458","26032","29480","244","55756","0"
"CABARRUS","38609","45575","530","0","0","0","34162","91296","19755","318","0","0","0","0","7507","2770","53664","63418","1794","118876","0"
"CALDWELL","15396","23332","294","0","0","0","13117","47974","2779","51","0","0","0","0","1335","530","24600","27289","250","52139","0"
"CAMDEN","2667","1984","33","0","0","0","2417","5809","1068","12","0","0","0","0","212","32","3388","3639","74","7101","0"
"CARTERET","13298","20549","202","0","0","0","15398","44976","2691","96","0","0","0","0","1684","335","22852","25768","827","49447","0"
"CASWELL","8476","3361","23","0","0","0","3221","9345","5324","18","0","0","0","0","394","79","6780","8136","165","15081","0"
"CATAWBA","27589","42503","296","0","0","0","27868","83972","9067","121","0","0","0","0","5096","1684","45090","52452","714","98256","0"
"CHATHAM","19838","11912","188","0","0","0","14219","36967","6169","93","0","0","0","0","2928","889","20379","24222","1556","46157","0"
"CHEROKEE","6685","9090","90","0","0","0","6291","21442","224","129","0","0","0","0","361","121","10357","11736","63","22156","0"
"CHOWAN","5177","2471","14","0","0","0","2454","6727","3132","11","0","0","0","0","246","38","4517","5528","71","10116","0"
"CLAY","2343","3342","32","0","0","0","2879","8388","37","14","0","0","0","0","157","37","4059","4490","47","8596","0"
"CLEVELAND","27030","18125","162","0","0","0","13380","44041","13099","76","0","0","0","0","1481","402","26401","31884","412","58697","0"
"COLUMBUS","21911","5777","45","0","0","0","6813","21929","10927","946","0","0","0","0","744","148","15503","18847","196","34546","0"
"CRAVEN","25302","22385","277","0","0","0","18513","47518","15477","134","0","0","0","0","3348","1052","29676","35853","948","66477","0"
"CUMBERLAND","94930","44463","711","0","0","0","49319","87918","79252","1954","0","0","0","0","20299","8183","82371","101870","5182","189423","0"
"CURRITUCK","4367","5830","105","0","0","0","6825","15594","970","48","0","0","0","0","515","113","8144","8802","181","17127","0"
"DARE","9310","8056","166","0","0","0","9687","25867","558","37","0","0","0","0","757","165","12917","14133","169","27219","0"
"DAVIDSON","28032","46046","368","0","0","0","24845","86930","9327","226","0","0","0","0","2808","1035","46029","52768","494","99291","0"
"DAVIE","5830","14668","79","0","0","0","7476","25252","1922","34","0","0","0","0","845","298","12996","14947","110","28053","0"
"DUPLIN","14646","7371","70","0","0","0","6562","18129","8951","42","0","0","0","0","1527","898","12558","15278","813","28649","0"
"DURHAM","117727","27268","842","0","0","0","56979","101001","79226","541","0","0","0","0","22048","5296","86470","110150","6196","202816","0"
"EDGECOMBE","27895","5888","55","0","0","0","4056","13870","23152","48","0","0","0","0","824","230","16528","21046","320","37894","0"
"FORSYTH","99603","72676","865","0","0","0","58325","152297","64840","442","0","0","0","0","13890","5335","101356","126151","3962","231469","0"
"FRANKLIN","18442","11976","169","0","0","0","9418","27113","11054","107","0","0","0","0","1731","587","18386","20894","725","40005","0"
"GASTON","44991","49752","483","0","0","0","34617","102283","20994","302","0","0","0","0","6264","2080","57599","69865","2379","129843","0"
"GATES","4780","1528","17","0","0","0","1827","4989","2845","10","0","0","0","0","308","26","3609","4260","283","8152","0"
"GRAHAM","2171","2700","19","0","0","0","1456","5907","3","313","0","0","0","0","123","43","3036","3254","56","6346","0"
"GRANVILLE","18920","8250","112","0","0","0","7850","21726","11864","81","0","0","0","0","1461","441","15581","18392","1159","35132","0"
"GREENE","6951","1849","25","0","0","0","2185","6436","4198","12","0","0","0","0","364","221","5052","5941","17","11010","0"
"GUILFORD","158362","91417","1407","0","0","0","83585","196512","114531","939","0","0","0","0","22789","5568","147445","184375","2951","334771","0"
"HALIFAX","25815","4256","67","0","0","0","6928","14682","20052","1097","0","0","0","0","1235","196","16091","20560","415","37066","0"
"HARNETT","26678","22491","385","0","0","0","16343","45818","15333","443","0","0","0","0","4303","1993","29559","35713","625","65897","0"
"HAYWOOD","17762","11875","141","0","0","0","11062","39643","422","96","0","0","0","0","679","241","18761","21837","242","40840","0"
"HENDERSON","17344","29662","322","0","0","0","28356","70408","2200","132","0","0","0","0","2944","1219","34388","40671","625","75684","0"
"HERTFORD","11166","1400","24","0","0","0","2044","4943","9212","104","0","0","0","0","375","55","6300","8229","105","14634","0"
"HOKE","14683","5998","122","0","0","0","8121","13045","11486","2126","0","0","0","0","2267","1351","12969","15912","43","28924","0"
"HYDE","2200","488","6","0","0","0","720","2483","857","3","0","0","0","0","71","14","1573","1809","32","3414","0"
"IREDELL","31117","44939","421","0","0","0","32187","90320","13141","207","0","0","0","0","4996","1872","50730","56914","1020","108664","0"
"JACKSON","10161","6434","109","0","0","0","8825","21708","460","1496","0","0","0","0","1865","226","11244","12967","1318","25529","0"
"JOHNSTON","37513","41918","481","0","0","0","29689","85300","17819","310","0","0","0","0","6172","2449","50014","58212","1375","109601","0"
"JONES","3997","1644","23","0","0","0","1621","4606","2492","14","0","0","0","0","173","51","3355","3875","55","7285","0"
