"CountyName","Democrats","Republicans","Libertarians","Green","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"ALAMANCE","38016","31482","349","0","0","25060","68828","19382","231","0","6466","2093","41453","51269","2185","94907"
"ALEXANDER","6706","10414","56","0","0","6513","22107","1000","31","0","551","205","11303","12237","149","23689"
"ALLEGHANY","2849","2381","27","0","0","1947","6914","83","10","0","197","146","3389","3768","47","7204"
"ANSON","12002","2309","16","0","0","2700","7529","7626","35","0","1837","58","6948","8282","1797","17027"
"ASHE","5696","7743","48","0","0","4812","17901","97","21","0","280","144","8646","9597","56","18299"
"AVERY","1423","6869","44","0","0","3161","11137","84","26","0","250","75","5350","6067","80","11497"
"BEAUFORT","14041","10309","87","0","0","7797","22992","8261","36","0","945","261","14470","17281","483","32234"
"BERTIE","10451","1449","15","0","0","2152","4974","8523","18","0","552","23","6089","7605","373","14067"
"BLADEN","13946","3070","27","0","0","5178","12959","8313","379","0","570","261","10144","11954","123","22221"
"BRUNSWICK","26426","32674","313","0","0","29375","77089","8726","267","0","2706","819","40883","46863","1042","88788"
"BUNCOMBE","74413","46010","1130","0","0","64489","164511","10951","393","0","10187","2435","83870","99092","3080","186042"
"BURKE","19423","19802","229","0","0","17230","50986","3374","75","0","2249","533","26509","29917","258","56684"
"CABARRUS","39114","46848","563","0","0","36600","94004","20800","325","0","7996","3132","55577","65696","1852","123125"
"CALDWELL","15271","23820","315","0","0","14020","49093","2859","57","0","1417","593","25258","27918","250","53426"
"CAMDEN","2569","2136","33","0","0","2610","6028","1084","13","0","223","31","3533","3749","66","7348"
"CARTERET","13065","21019","212","0","0","16286","46044","2713","102","0","1723","385","23366","26395","821","50582"
"CASWELL","8281","3461","30","0","0","3387","9443","5295","20","0","401","88","6832","8161","166","15159"
"CATAWBA","27259","43044","330","0","0","29309","85196","9199","119","0","5428","1890","45969","53273","700","99942"
"CHATHAM","20093","12438","197","0","0","15422","38634","6312","97","0","3107","1042","21318","25307","1525","48150"
"CHEROKEE","6600","9464","100","0","0","6769","22163","242","140","0","388","144","10728","12142","63","22933"
"CHOWAN","5076","2516","17","0","0","2505","6718","3153","10","0","233","35","4496","5550","68","10114"
"CLAY","2238","3409","37","0","0","2969","8433","44","17","0","159","40","4075","4525","53","8653"
"CLEVELAND","26670","18788","186","0","0","14586","45124","13414","83","0","1609","449","27121","32682","427","60230"
"COLUMBUS","21496","6086","51","0","0","7507","22304","11104","963","0","769","168","15781","19165","194","35140"
"CRAVEN","25012","23278","314","0","0","19780","48993","15679","142","0","3570","1202","30611","36856","917","68384"
"CUMBERLAND","94965","45875","785","0","0","53505","90521","81431","2051","0","21127","8975","85040","105048","5042","195130"
"CURRITUCK","4257","6279","118","0","0","7313","16389","1000","46","0","532","114","8550","9237","180","17967"
"DARE","9236","8395","172","0","0","10369","26776","563","37","0","796","175","13379","14616","177","28172"
"DAVIDSON","27568","46865","372","0","0","26322","88351","9549","240","0","2987","1194","46859","53796","472","101127"
"DAVIE","5710","14678","84","0","0","7947","25519","1936","36","0","928","350","13210","15080","129","28419"
"DUPLIN","14501","7611","84","0","0","6880","18359","9038","42","0","1637","1046","12755","15531","790","29076"
"DURHAM","120188","28174","880","0","0","60836","105126","81088","557","0","23307","5998","89669","114293","6116","210078"
"EDGECOMBE","27463","5989","63","0","0","4380","13843","23161","53","0","838","264","16573","21024","298","37895"
"FORSYTH","100451","73901","991","0","0","62256","156196","66320","456","0","14627","6179","104292","129504","3803","237599"
"FRANKLIN","18318","12327","169","0","0","10035","27768","11166","110","0","1805","641","18817","21321","711","40849"
"GASTON","44769","50884","517","0","0","36947","104488","21720","311","0","6598","2352","59206","71609","2302","133117"
"GATES","4738","1612","19","0","0","1950","5124","2866","13","0","316","27","3710","4331","278","8319"
"GRAHAM","2078","2724","20","0","0","1516","5876","4","317","0","141","42","3034","3235","69","6338"
"GRANVILLE","18762","8528","123","0","0","8531","22308","12023","82","0","1531","495","15982","18838","1124","35944"
"GREENE","6764","1926","26","0","0","2402","6452","4254","12","0","400","266","5098","6003","17","11118"
"GUILFORD","159001","92441","1509","0","0","87601","198814","117120","938","0","23680","6256","150481","187276","2795","340552"
"HALIFAX","25934","4442","75","0","0","7297","14928","20459","1107","0","1254","208","16470","20880","398","37748"
"HARNETT","26438","23308","415","0","0","17901","47272","15751","459","0","4580","2264","30620","36837","605","68062"
"HAYWOOD","17498","12342","175","0","0","12019","40756","445","98","0","735","274","19300","22508","226","42034"
"HENDERSON","17618","30241","341","0","0","30037","72629","2275","133","0","3200","1368","35546","42020","671","78237"
